sense_id,headword,pos,selected_sense_en,definition_en,definition_zh,curriculum_band,cefr_level,vocabulary_role,primary_topic_id,secondary_topics,pronunciation_ipa_us,american_audio_file,ecdict_tags,ecdict_collins,ecdict_bnc_rank,ecdict_frq_rank,source_definition,source_translation,copyright_status,license_review,human_review,review_reason
family_n_1,family,n.,group consisting of one or two parents and their children,group consisting of one or two parents and their children,"家庭, 家人, 族",4.0,A1,foundation,daily_life_people_and_family,,/ˈfæməli/,family_us.mp3,zk gk ielts,5,200,147,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
parent_n_1,parent,n.,person’s father or mother,person’s father or mother,"父母, 父母亲, 根源",4.0,A1,foundation,daily_life_people_and_family,,/ˈperənt/,parent_us.mp3,zk gk ielts,5,494,327,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
mother_n_1,mother,n.,female parent of a child or animal; a person who is acting as a mother to a child,female parent of a child or animal; a person who is acting as a mother to a child,"母亲, 修女院长",4.0,A1,foundation,daily_life_people_and_family,,/ˈmʌðər/,mother_us.mp3,zk gk ielts,5,306,229,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
child_n_1,child,n.,young human who is not yet an adult,young human who is not yet an adult,"孩子, 产物, 追随者",4.0,A1,foundation,daily_life_people_and_family,,/tʃaɪld/,child_us.mp3,zk gk ielts,5,114,115,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
father_n_1,father,n.,male parent of a child or an animal; a person who is acting as the father to a child,male parent of a child or an animal; a person who is acting as the father to a child,"父亲, 祖先, 长辈, 神父, 创始者",4.0,A1,foundation,daily_life_people_and_family,,/ˈfɑːðər/,father_us.mp3,zk gk,5,364,267,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
son_n_1,son,n.,person’s male child,person’s male child,"儿子, 女婿, 子孙",4.0,A1,foundation,daily_life_people_and_family,,/sʌn/,son_us.mp3,zk gk,5,599,481,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
daughter_n_1,daughter,n.,person’s female child,person’s female child,女儿,4.0,A1,foundation,daily_life_people_and_family,,/ˈdɔːtər/,daughter_us.mp3,zk gk,5,871,634,OXFORD_REPO,ECDICT,private_study_only,T,F,
baby_n_1,baby,n.,very young child or animal,very young child or animal,婴孩,4.0,A1,foundation,daily_life_people_and_family,,/ˈbeɪbi/,baby_us.mp3,zk gk,4,869,588,OXFORD_REPO,ECDICT,private_study_only,T,F,
brother_n_1,brother,n.,boy or man who has the same parents as another person,boy or man who has the same parents as another person,兄弟,4.0,A1,foundation,daily_life_people_and_family,,/ˈbrʌðər/,brother_us.mp3,zk gk,5,827,614,OXFORD_REPO,ECDICT,private_study_only,T,F,
dad_n_1,dad,n.,father,father,"爸爸, 爹爹",4.0,A1,foundation,daily_life_people_and_family,,/dæd/,dad_us.mp3,zk,3,1311,1814,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
husband_n_1,husband,n.,the man that somebody is married to; a married man,the man that somebody is married to; a married man,"丈夫, 管理人, 节俭的人",4.0,A1,foundation,daily_life_people_and_family,,/ˈhʌzbənd/,husband_us.mp3,zk gk gre,4,826,637,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
wife_n_1,wife,n.,the woman that somebody is married to; a married woman,the woman that somebody is married to; a married woman,"妻子, 太太, 夫人",4.0,A1,foundation,daily_life_people_and_family,,/waɪf/,wife_us.mp3,zk gk,5,531,466,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
sister_n_1,sister,n.,girl or woman who has the same mother and father as another person,girl or woman who has the same mother and father as another person,"姐妹, 姐, 妹, 护士, 修女",4.0,A1,foundation,daily_life_people_and_family,,/ˈsɪstər/,sister_us.mp3,zk gk,5,1049,823,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
couple_n_1,couple,n.,two people or things,two people or things,"对, 夫妇, 数个",4.0,A2,foundation,daily_life_people_and_family,,/ˈkʌpl/,couple_us.mp3,zk gk cet4 ky toefl,4,727,531,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
married_adj_1,married,adj.,having a husband or wife,having a husband or wife,"已婚的, 婚姻的",4.0,A1,foundation,daily_life_people_and_family,,/ˈmærid/,married_us.mp3,gk cet4 cet6 ky,3,1742,1610,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
adult_n_1,adult,n.,fully grown person who is legally responsible for their actions,fully grown person who is legally responsible for their actions,"成人, 成虫",4.0,A1,foundation,daily_life_people_and_family,,/əˈdʌlt/,adult_us.mp3,gk cet4 ky ielts,4,1236,969,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
person_n_1,person,n.,human as an individual,human as an individual,"人, 人身, 人称",4.0,A1,foundation,daily_life_people_and_family,,/ˈpɜːrsn/,person_us.mp3,zk gk ielts,5,308,345,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
aunt_n_1,aunt,n.,the sister of your father or mother; the wife of your uncle or aunt,the sister of your father or mother; the wife of your uncle or aunt,"阿姨, 姨妈, 舅妈, 姑妈, 伯母",4.0,A1,foundation,daily_life_people_and_family,,/ænt/,aunt_us.mp3,zk gk,4,2569,4166,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
boy_n_1,boy,n.,male child or a young male person,male child or a young male person,男孩,4.0,A1,foundation,daily_life_people_and_family,,/bɔɪ/,boy_us.mp3,zk gk,5,462,382,OXFORD_REPO,ECDICT,private_study_only,T,F,
girl_n_1,girl,n.,female child,female child,"女孩, 少女, 女佣",4.0,A1,foundation,daily_life_people_and_family,,/ɡɜːrl/,girl_us.mp3,zk gk,5,362,363,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
marriage_n_1,marriage,n.,the legal relationship between two people who are married to each other,the legal relationship between two people who are married to each other,"婚姻, 结婚, 婚礼, 合并",4.0,B1,foundation,daily_life_people_and_family,,/ˈmærɪdʒ/,marriage_us.mp3,zk gk cet4 cet6 ky,4,1154,1011,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
uncle_n_1,uncle,n.,the brother of your mother or father; the husband of your aunt or uncle,the brother of your mother or father; the husband of your aunt or uncle,"叔父, 伯父, 姨丈",4.0,A1,foundation,daily_life_people_and_family,,/ˈʌŋkl/,uncle_us.mp3,zk gk,3,2301,3345,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
cousin_n_1,cousin,n.,child of your aunt or uncle,child of your aunt or uncle,"堂兄弟姊妹, 表兄弟姊妹",4.0,A1,foundation,daily_life_people_and_family,,/ˈkʌzn/,cousin_us.mp3,zk gk cet4 cet6 ky,4,3010,2714,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
man_n_1,man,n.,an adult male human,an adult male human,"男人, 人类, 人",4.0,A1,foundation,daily_life_people_and_family,,/mæn/,man_us.mp3,zk gk,5,91,94,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
woman_n_1,woman,n.,an adult female human,an adult female human,"女人, 妇女, 女仆",4.0,A1,foundation,daily_life_people_and_family,,/ˈwʊmən/,woman_us.mp3,zk gk,5,130,111,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
age_n_1,age,n.,the number of years that a person has lived or a thing has existed,the number of years that a person has lived or a thing has existed,"年龄, 老年, 成年, 寿命, 时代, 时期",4.0,A1,foundation,daily_life_people_and_family,,/eɪdʒ/,age_us.mp3,zk gk toefl ielts,5,363,386,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
relative_n_1,relative,n.,person who is in the same family as somebody else,person who is in the same family as somebody else,"亲戚, 关系词",4.0,B1,foundation,daily_life_people_and_family,,/ˈrelətɪv/,relative_us.mp3,gk cet4 cet6 ky,3,2255,2428,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
grandmother_n_1,grandmother,n.,the mother of your father or mother,the mother of your father or mother,"祖母, 女祖先",4.0,A1,foundation,daily_life_people_and_family,,/ˈɡrænmʌðər/,grandmother_us.mp3,zk cet4 cet6 ky,2,4338,2495,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
people_n_1,people,n.,"human beings; men, women and children","human beings; men, women and children","人, 人民, 民族, 平民",4.0,A1,foundation,daily_life_people_and_family,,/ˈpiːpl/,people_us.mp3,zk gk,5,75,62,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
grandfather_n_1,grandfather,n.,the father of your father or mother,the father of your father or mother,"祖父, 始祖",4.0,A1,foundation,daily_life_people_and_family,,/ˈɡrænfɑːðər/,grandfather_us.mp3,zk cet4 cet6,2,4184,2950,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
friend_n_1,friend,n.,"person you know well and like, and who is not usually a member of your family","person you know well and like, and who is not usually a member of your family","朋友, 支持者, 赞助者",4.0,A1,foundation,daily_life_people_and_family,,/frend/,friend_us.mp3,zk gk,5,281,265,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
kid_n_1,kid,n.,child or young person,child or young person,"小山羊, 小山羊肉, 小孩, 欺骗",4.0,A2,foundation,daily_life_people_and_family,,/kɪd/,kid_us.mp3,zk gk cet4 ky,4,1572,312,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
mom_n_1,mom,n.,informal terms for a mother,informal terms for a mother,妈妈,4.0,,foundation,daily_life_people_and_family,,mʌm,,zk,2,13335,1609,ECDICT,ECDICT,mit_dataset,F,T,Oxford entry missing; definition/IPA use ECDICT fallback. | Multiple or mismatched POS/sense candidates.
name_n_1,name,n.,"word or words that a particular person, animal, place or thing is known by","word or words that a particular person, animal, place or thing is known by","名字, 名称, 姓名, 名义, 名誉, 文件名",4.0,A1,foundation,daily_life_people_and_family,,/neɪm/,name_us.mp3,zk gk,5,271,298,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
young_adj_1,young,adj.,having lived or existed for only a short time; not fully developed,having lived or existed for only a short time; not fully developed,"年轻的, 无经验的, 朝气蓬勃的",4.0,A1,foundation,daily_life_people_and_family,,/jʌŋ/,young_us.mp3,zk gk,5,228,234,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
grandparent_n_1,grandparent,n.,the father or mother of your father or mother,the father or mother of your father or mother,祖父母,4.0,A1,foundation,daily_life_people_and_family,,/ˈɡrænperənt/,grandparent_us.mp3,zk,1,7634,4679,OXFORD_REPO,ECDICT,private_study_only,T,F,
old_adj_1,old,adj.,of a particular age,of a particular age,"老的, 旧的, 古老的, 年长的, 老练的",4.0,A1,foundation,daily_life_people_and_family,,/əʊld/,old_us.mp3,zk gk,5,126,152,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
partner_n_1,partner,n.,"person that you are doing an activity with, such as dancing or playing a game","person that you are doing an activity with, such as dancing or playing a game","合伙人, 股东, 伙伴, 伴侣",4.0,A1,foundation,daily_life_people_and_family,,/ˈpɑːrtnər/,partner_us.mp3,gk cet4 cet6 ky,4,1144,1048,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
teenager_n_1,teenager,n.,person who is between 13 and 19 years old,person who is between 13 and 19 years old,十三岁到十九岁的少年,4.0,A1,foundation,daily_life_people_and_family,,/ˈtiːneɪdʒər/,teenager_us.mp3,gk cet4 cet6 ky,3,3812,2440,OXFORD_REPO,ECDICT,private_study_only,T,F,
twin_n_1,twin,n.,one of two children born at the same time to the same mother,one of two children born at the same time to the same mother,"双胞胎中一人, 一对非常相像的人(或物)中的一个",4.0,A2,foundation,daily_life_people_and_family,,/twɪn/,twin_us.mp3,gk cet4 cet6 ky,3,2884,2376,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
grandson_n_1,grandson,n.,a male grandchild,a male grandchild,"孙子, 外孙",4.0,,foundation,daily_life_people_and_family,,'grændsʌn,,zk gk cet4 cet6,1,6942,6641,ECDICT,ECDICT,mit_dataset,F,T,Oxford entry missing; definition/IPA use ECDICT fallback. | Multiple or mismatched POS/sense candidates. | ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
granddaughter_n_1,granddaughter,n.,a female grandchild,a female grandchild,"孙女, 外孙女",4.0,,foundation,daily_life_people_and_family,,'^rændɔ:tә(r),,zk gk cet4 cet6,1,11766,8528,ECDICT,ECDICT,mit_dataset,F,T,Oxford entry missing; definition/IPA use ECDICT fallback. | Multiple or mismatched POS/sense candidates. | ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
nephew_n_1,nephew,n.,a son of your brother or sister,a son of your brother or sister,"侄子, 外甥",4.0,A2,foundation,daily_life_people_and_family,,'nefju:,,gk cet4 cet6 ky,1,6440,6362,ECDICT,ECDICT,mit_dataset,F,T,Curriculum CEFR estimate overrides unreliable/missing source level. | Oxford entry missing; definition/IPA use ECDICT fallback. | Multiple or mismatched POS/sense candidates. | ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
neighbor_n_1,neighbor,n.,a person who lives (or is located) near another,a person who lives (or is located) near another,邻居,4.0,,foundation,daily_life_people_and_family,,'neibә,,ky toefl,,0,1424,ECDICT,ECDICT,mit_dataset,F,T,Oxford entry missing; definition/IPA use ECDICT fallback. | Multiple or mismatched POS/sense candidates.
niece_n_1,niece,n.,a daughter of your brother or sister,a daughter of your brother or sister,"侄女, 甥女",4.0,A2,foundation,daily_life_people_and_family,,ni:s,,gk cet4 cet6 ky,1,7967,7475,ECDICT,ECDICT,mit_dataset,F,T,Curriculum CEFR estimate overrides unreliable/missing source level. | Oxford entry missing; definition/IPA use ECDICT fallback. | Multiple or mismatched POS/sense candidates. | ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
short_adj_1,short,adj.,"measuring or covering a small length or distance, or a smaller length or distance than usual","measuring or covering a small length or distance, or a smaller length or distance than usual","短的, 近的, 矮的, 短期的, 简短的, 少量的",4.0,A1,foundation,daily_life_people_and_family,,/ʃɔːrt/,short_us.mp3,zk gk ielts,2,500,627,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
grow_v_1,grow,v.,"to increase in size, number, strength or quality","to increase in size, number, strength or quality","种植, 使长满",4.0,A1,foundation,daily_life_people_and_family,,/ɡrəʊ/,grow_us.mp3,zk gk,5,524,353,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
birth_n_1,birth,n.,the time when a baby is born; the process of being born,the time when a baby is born; the process of being born,"出生, 起源",4.0,A2,foundation,daily_life_people_and_family,,/bɜːrθ/,birth_us.mp3,zk gk cet4 ky ielts,3,1590,1499,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
heavy_adj_1,heavy,adj.,weighing a lot; difficult to lift or move,weighing a lot; difficult to lift or move,"重的, 巨大的, 沉重的, 笨重的, 过度的",4.0,A2,foundation,daily_life_people_and_family,,/ˈhevi/,heavy_us.mp3,zk gk ielts,4,943,1005,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
strong_adj_1,strong,adj.,"having a lot of physical power so that you can lift heavy weights, do hard physical work, etc.","having a lot of physical power so that you can lift heavy weights, do hard physical work, etc.","强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的",4.0,A1,foundation,daily_life_people_and_family,,/strɔːŋ/,strong_us.mp3,zk gk,5,506,458,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
height_n_1,height,n.,the measurement of how tall a person or thing is,the measurement of how tall a person or thing is,"高度, 海拔, 高地, 顶点",4.0,A2,foundation,daily_life_people_and_family,,/haɪt/,height_us.mp3,zk gk cet4 cet6 ky toefl ielts,3,1913,2040,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
face_n_1,face,n.,"the front part of the head, where the eyes, nose and mouth are","the front part of the head, where the eyes, nose and mouth are","脸, 面容, 正面, 外观",4.0,A1,foundation,daily_life_people_and_family,,/feɪs/,face_us.mp3,zk gk toefl ielts,5,282,330,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
beautiful_adj_1,beautiful,adj.,having beauty; giving pleasure to the senses or to the mind,having beauty; giving pleasure to the senses or to the mind,美丽的,4.0,A1,foundation,daily_life_people_and_family,,/ˈbjuːtɪfl/,beautiful_us.mp3,zk gk ielts,4,1161,992,OXFORD_REPO,ECDICT,private_study_only,T,F,
youth_n_1,youth,n.,"the time of life when a person is young, especially the time before a child becomes an adult","the time of life when a person is young, especially the time before a child becomes an adult","年轻, 青年时代, 青年们, 青春",4.0,B1,foundation,daily_life_people_and_family,,/juːθ/,youth_us.mp3,gk cet4 cet6 ky ielts,4,1508,1397,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
eye_n_1,eye,n.,either of the two organs on the face that you see with,either of the two organs on the face that you see with,"眼睛, 视力, 看",4.0,A1,foundation,daily_life_people_and_family,,/aɪ/,eye_us.mp3,zk gk ielts,5,219,242,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
tall_adj_1,tall,adj.,having a greater than average height,having a greater than average height,"高的, 长的, 夸大的",4.0,A1,foundation,daily_life_people_and_family,,/tɔːl/,tall_us.mp3,zk gk,3,1757,1524,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
born_v_1,born,adj.,brought into life by birth,brought into life by birth,出生的；天生的,4.0,A1,foundation,daily_life_people_and_family,,/bɔːrn/,born_us.mp3,zk gk cet4 ky,4,1206,1088,CURATED_FROM_SOURCES,ECDICT,private_study_only,T,T,Human-selected adjective sense used in the pattern 'be born'. | Multiple or mismatched POS/sense candidates. | ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
hair_n_1,hair,n.,the substance that looks like a mass of fine threads growing on a person's head,the substance that looks like a mass of fine threads growing on a person's head,"头发, 毛发, 些微",4.0,A1,foundation,daily_life_people_and_family,,/her/,hair_us.mp3,zk gk,4,668,602,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
pretty_adj_1,pretty,adj.,attractive without being very beautiful,attractive without being very beautiful,"漂亮的, 优美的, 机灵的, 狡猾的, 恰当的",4.0,A1,foundation,daily_life_people_and_family,,/ˈprɪti/,pretty_us.mp3,zk gk cet4 cet6 ky,4,1782,797,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
thin_adj_1,thin,adj.,having a smaller distance between opposite sides or surfaces than other similar objects or than normal,having a smaller distance between opposite sides or surfaces than other similar objects or than normal,"薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的",4.0,A2,foundation,daily_life_people_and_family,,/θɪn/,thin_us.mp3,zk gk toefl,3,1670,1621,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
healthy_adj_1,healthy,adj.,having good health and not likely to become ill,having good health and not likely to become ill,"健康的, 有益健康的, 卫生的",4.0,A1,foundation,daily_life_people_and_family,,/ˈhelθi/,healthy_us.mp3,zk gk,3,2199,1468,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
weak_adj_1,weak,adj.,not physically strong,not physically strong,"不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的",4.0,A2,foundation,daily_life_people_and_family,,/wiːk/,weak_us.mp3,zk gk cet4 cet6 ky,4,1990,2070,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
hand_n_1,hand,n.,"the part of the body at the end of the arm, including the fingers and thumb","the part of the body at the end of the arm, including the fingers and thumb","手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手",4.0,A1,foundation,daily_life_people_and_family,,/hænd/,hand_us.mp3,zk gk ielts,4,163,174,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
foot_n_1,foot,n.,"the lowest part of the leg, below the ankle, on which a person or an animal stands","the lowest part of the leg, below the ankle, on which a person or an animal stands","脚, 步调, 英尺, 底部, 末尾, 步兵",4.0,A1,foundation,daily_life_people_and_family,,/fʊt/,foot_us.mp3,zk gk ielts,5,459,380,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
