evidence_id,sense_id,headword,quoted_text,matched_span,source_title,source_url_or_locator,usage_analysis,paper_types,license,copyright_status,human_review,review_reason,review_status
oxford_family_n_1,family_n_1,family,I introduced Neil to the other members of my family.,family,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_parent_n_1,parent_n_1,parent,He's still living with his parents.,parent,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_mother_n_1,mother_n_1,mother,I want to buy a present for my mother and father.,mother,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_child_n_1,child_n_1,child,a child of 3/a 3-year-old child,child,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_father_n_1,father_n_1,father,My father died in 2017.,father,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_son_n_1,son_n_1,son,their four-year-old son,son,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_daughter_n_1,daughter_n_1,daughter,We have two sons and a daughter.,daughter,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_baby_n_1,baby_n_1,baby,The baby's crying!,baby,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_brother_n_1,brother_n_1,brother,We're brothers.,brother,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_dad_n_1,dad_n_1,dad,That's my dad over there.,dad,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_husband_n_1,husband_n_1,husband,"This is my husband, Steve.",husband,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_wife_n_1,wife_n_1,wife,I met my wife at university.,wife,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_sister_n_1,sister_n_1,sister,She's my sister.,sister,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_married_adj_1,married_adj_1,married,a married man/woman,married,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_adult_n_1,adult_n_1,adult,Children must be accompanied by an adult.,adult,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_person_n_1,person_n_1,person,What sort of person would do a thing like that?,person,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_aunt_n_1,aunt_n_1,aunt,Aunt Alice,aunt,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_boy_n_1,boy_n_1,boy,a little/small/young boy,boy,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_girl_n_1,girl_n_1,girl,a little girl of six,girl,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_marriage_n_1,marriage_n_1,marriage,a happy/an unhappy marriage,marriage,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_uncle_n_1,uncle_n_1,uncle,Uncle Ian,uncle,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_cousin_n_1,cousin_n_1,cousin,She's my cousin.,cousin,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_man_n_1,man_n_1,man,a good-looking young man,man,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_woman_n_1,woman_n_1,woman,a 54-year-old woman,woman,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_age_n_1,age_n_1,age,You're the same age as my brother.,age,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_relative_n_1,relative_n_1,relative,a close/distant relative,relative,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_grandmother_n_1,grandmother_n_1,grandmother,I always loved going to visit my grandmother.,grandmother,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_people_n_1,people_n_1,people,At least ten people were killed in the crash.,people,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_grandfather_n_1,grandfather_n_1,grandfather,The firm had been founded by his grandfather.,grandfather,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_friend_n_1,friend_n_1,friend,This is my friend Tom.,friend,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_kid_n_1,kid_n_1,kid,Do you have any kids?,kid,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_name_n_1,name_n_1,name,What's your name?,name,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_young_adj_1,young_adj_1,young,Young babies need to be wrapped up warmly.,young,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_grandparent_n_1,grandparent_n_1,grandparent,The children are staying with their grandparents.,grandparent,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_teenager_n_1,teenager_n_1,teenager,a magazine aimed at teenagers,teenager,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_twin_n_1,twin_n_1,twin,She's expecting twins.,twin,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_birth_n_1,birth_n_1,birth,"at birth, The baby weighed three kilos at birth.",birth,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_heavy_adj_1,heavy_adj_1,heavy,a heavy weight/load,heavy,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_strong_adj_1,strong_adj_1,strong,He's strong enough to lift a car!,strong,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_height_n_1,height_n_1,height,Height: 210 mm. Width: 57 mm. Length: 170 mm.,height,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_face_n_1,face_n_1,face,a pretty/pale/round face,face,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_beautiful_adj_1,beautiful_adj_1,beautiful,a beautiful woman/girl,beautiful,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_youth_n_1,youth_n_1,youth,"in somebody's youth, He had been a talented musician in his youth.",youth,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_eye_n_1,eye_n_1,eye,The suspect has dark hair and green eyes.,eye,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_tall_adj_1,tall_adj_1,tall,She's tall and thin.,tall,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_hair_n_1,hair_n_1,hair,She has long dark hair.,hair,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_pretty_adj_1,pretty_adj_1,pretty,a pretty face,pretty,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_healthy_adj_1,healthy_adj_1,healthy,a healthy child/baby/adult,healthy,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_weak_adj_1,weak_adj_1,weak,She is still weak after her illness.,weak,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_hand_n_1,hand_n_1,hand,Ian placed a hand on her shoulder.,hand,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_foot_n_1,foot_n_1,foot,My feet are aching.,,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_head_n_1,head_n_1,head,She nodded her head in agreement.,head,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_body_n_1,body_n_1,body,The human body is a complex structure.,body,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_arm_n_1,arm_n_1,arm,He escaped with only a broken arm.,arm,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_nose_n_1,nose_n_1,nose,She had dark eyes and a long narrow nose.,nose,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_mouth_n_1,mouth_n_1,mouth,She opened her mouth to say something.,mouth,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_childhood_n_1,childhood_n_1,childhood,"childhood, adolescence, and adulthood",childhood,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_skin_n_1,skin_n_1,skin,to have dark/pale skin,skin,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_ear_n_1,ear_n_1,ear,the left/right ear,ear,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_leg_n_1,leg_n_1,leg,"Sit on the floor, stretching your legs out in front of you.",leg,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_tooth_n_1,tooth_n_1,tooth,I've just had a tooth out at the dentist's.,tooth,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_look_n_1,look_n_1,look,"look at somebody/something, Here, have a look at this.",look,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_laugh_v_1,laugh_v_1,laugh,to laugh out loud,laugh,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_voice_n_1,voice_n_1,voice,I could hear voices in the next room.,voice,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_smile_v_1,smile_v_1,smile,to smile slightly/broadly,smile,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_appearance_n_1,appearance_n_1,appearance,the physical/outward/external appearance of something,appearance,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_dead_adj_1,dead_adj_1,dead,My mother's dead; she died in 2017.,dead,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_male_adj_1,male_adj_1,male,a male friend/colleague/partner,male,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_female_adj_1,female_adj_1,female,a female student/employee/artist/athlete,female,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_cute_adj_1,cute_adj_1,cute,a cute little baby,cute,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_alive_adj_1,alive_adj_1,alive,Is your mother still alive?,alive,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_elderly_adj_1,elderly_adj_1,elderly,an elderly man/woman/lady,elderly,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_pregnant_adj_1,pregnant_adj_1,pregnant,My wife is pregnant.,pregnant,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_care_v_1,care_v_1,care,I don't care (= I will not be upset) if I never see him again!,care,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_support_v_1,support_v_1,support,"support somebody/something, to support an idea/a view",support,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_love_v_1,love_v_1,love,I love you.,love,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_help_v_1,help_v_1,help,What can I do to help?,help,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_live_v_1,live_v_1,live,to live in a house/a flat/an apartment,live,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_share_v_1,share_v_1,share,There isn't an empty table. Would you mind sharing?,,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_visit_v_1,visit_v_1,visit,My parents are coming to visit me next week.,visit,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_relationship_n_1,relationship_n_1,relationship,a personal/working relationship,relationship,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_remember_v_1,remember_v_1,remember,"remember somebody/something, This is Carla. Do you remember her?",remember,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_know_v_1,know_v_1,know,"know something, No one knows the answer.",know,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_nice_adj_1,nice_adj_1,nice,a nice day/smile/place,nice,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_kind_adj_1,kind_adj_1,kind,a very kind and helpful person,kind,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_respect_v_1,respect_v_1,respect,I respect Jack's opinion on most subjects.,respect,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_culture_n_1,culture_n_1,culture,African/American/European/Islamic culture,culture,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_friendly_adj_1,friendly_adj_1,friendly,a warm and friendly person,friendly,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_community_n_1,community_n_1,community,The local community supported us from the start.,community,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_quiet_adj_1,quiet_adj_1,quiet,her quiet voice,quiet,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_role_n_1,role_n_1,role,She has landed the lead role (= the most important one) in a new play.,role,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_trust_n_1,trust_n_1,trust,Our partnership is based on trust.,trust,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_responsibility_n_1,responsibility_n_1,responsibility,to be in a position of responsibility,responsibility,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_active_adj_1,active_adj_1,active,Staying physically active in later years can also keep you feeling younger.,active,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
