level_number,sense_id,placement_type,order_in_level,vocabulary_role,is_required,human_review
1,a21ce8dc-720e-597f-b69f-1230eec33f6a,new,1,foundation,true,false
1,52f765e5-e468-5d65-9e23-32fe2e05d59a,new,2,foundation,true,false
1,4f6ac419-d836-541b-ae0d-76642b0975f9,new,3,foundation,true,false
1,3c6d20e2-e4f3-5afc-8058-e75033bf5972,new,4,foundation,true,false
1,3020574e-73de-51f6-a10f-bc5ac51d3680,new,5,foundation,true,false
1,df621dde-0b01-5bdf-a9b5-6d99ec8cc815,new,6,foundation,true,false
1,c87a4cda-23e1-5c98-8efe-0ec654a4be4c,new,7,foundation,true,false
1,ea790ea2-3091-590a-9382-4a34110050b5,new,8,foundation,true,false
1,bab89739-8d84-56fd-bae0-7b57f736aa43,new,9,foundation,true,false
1,ab1e57cb-ae3e-580e-a4f3-30f59714de7c,new,10,foundation,true,false
1,f1d7dd00-b6f5-5c36-8884-74d7a1a5a48b,new,11,foundation,true,false
1,c64a79e5-483d-5352-b614-92ed0ffb6196,new,12,foundation,true,false
1,984a8d58-de7e-54cf-96cf-391d0991b6eb,new,13,foundation,true,false
1,464a2429-5933-547e-8a0a-b02f137222c7,new,14,foundation,true,false
1,2581a8bc-9c9d-594a-8d91-454f0788f557,new,15,foundation,true,false
1,409986c8-ffcc-53b7-aace-b384482ff18c,new,16,foundation,true,false
1,e1bcf777-956c-5d38-a71e-250e52b99b59,new,17,foundation,true,false
1,c6e0f7e8-2f18-5d03-b237-ea25fc5107e4,new,18,foundation,true,false
1,69792b86-17a5-5f99-9911-cf5c1bd0aa3d,new,19,foundation,true,false
1,458a2405-f0ad-53a0-a1c5-663fbd569b0a,new,20,foundation,true,false
1,4c80dff6-1e30-561b-9f6c-6d34609a9b22,new,21,foundation,true,false
1,0befb6d0-3c67-523f-9830-41b1ba30d733,new,22,foundation,true,false
1,30cf9efc-ebe2-5a85-853c-4789e422407d,new,23,foundation,true,false
1,6f670f3e-dc90-5273-967f-5e1d0e4fb54a,new,24,foundation,true,false
1,f9592995-d353-53be-8469-a7ea8dbc5de1,new,25,foundation,true,false
1,ec9f082c-42d4-56e9-a7a3-7ad8e038728d,new,26,foundation,true,false
1,59201284-fb3a-54a7-9a11-bb0827260e87,new,27,foundation,true,false
1,b9d1927f-8156-53f9-ab7e-a03dd49a3ec8,new,28,foundation,true,false
1,3da1f81f-cbe2-5a81-9acf-5cd9451bf93d,new,29,foundation,true,false
1,4c1c4ca1-9c12-5d99-9a7a-945083c7efaa,new,30,foundation,true,false
1,3f4c9516-cf61-5007-8264-385a2c38c3ca,new,31,foundation,true,false
1,0b3f2002-c5a5-52d9-b4ca-c72d24e495a9,new,32,foundation,true,false
1,90c36f21-c660-586d-844c-44e84b41534f,new,33,foundation,true,false
1,dc20cba3-d589-5996-a220-bab69f868f9b,new,34,foundation,true,false
1,3b4751c0-c42d-58a3-8492-fef90debae3a,new,35,foundation,true,false
1,7b0b962f-ca73-5289-8ab7-b1b27d15b765,new,36,foundation,true,false
1,8d767542-c08d-5124-a263-af8ed8093e72,new,37,foundation,true,false
1,4d9bca1a-6d25-574d-86a9-c33b0a5ad9ff,new,38,foundation,true,false
1,08dd3a2f-4c5f-5224-a479-788cb15b004f,new,39,foundation,true,false
1,2281d0a2-880f-5a04-8370-dd0703af0688,new,40,foundation,true,false
1,2ab36c75-6ca0-5b18-912d-66b49c27aca6,new,41,foundation,true,false
1,7bead368-6855-512e-b445-1973a2a9ab8a,new,42,foundation,true,false
1,2044a5e1-74c9-5b65-a8cd-d0ff3cdbe70c,new,43,foundation,true,false
1,dfd86877-919a-5fa2-a026-bb346e510e25,new,44,foundation,true,false
1,bead0702-e45d-5604-8202-988dafe1c562,new,45,foundation,true,false
2,538f9710-2133-5372-9d79-c0975840a82d,new,1,foundation,true,false
2,52411c24-8286-5f2d-8caf-2e2c3c6a948a,new,2,foundation,true,false
2,56dcf74b-2a92-52cb-a03d-4203ecb35e10,new,3,foundation,true,false
2,04cba3c7-2e01-5920-9389-9d285c7ef90a,new,4,foundation,true,false
2,edeaa218-22a5-5fb1-96ad-d20f771264ec,new,5,foundation,true,false
2,ee9fa651-a20f-58d4-949e-c37d68ce5e16,new,6,foundation,true,false
2,5bafa0f3-f622-58da-ab90-bedc0ea45dd1,new,7,foundation,true,false
2,14c7a9c7-ca1f-5177-9799-bd2e2ddfb43b,new,8,foundation,true,false
2,f1900b28-2319-5819-b280-3b931566c3a2,new,9,foundation,true,false
2,e2ea3ab6-9341-51b3-8d40-ff47c6858f40,new,10,foundation,true,false
2,899cf71a-9d34-55ac-972b-fd2f3cb32203,new,11,foundation,true,false
2,9805e16b-0483-5d86-a2b7-9c9a95d8e8bc,new,12,foundation,true,false
2,6f9ef7f1-5b8f-595d-82e6-b87eb07ba92d,new,13,foundation,true,false
2,02e65940-25cc-5ab2-82f5-766056214ab1,new,14,foundation,true,false
2,619174b4-e9f0-507f-98ae-45d7fc7f7c5c,new,15,foundation,true,false
2,3da62256-c643-5307-9958-89b6f43ba525,new,16,foundation,true,false
2,f8470e60-0e8c-56bd-914e-c557612687d7,new,17,foundation,true,false
2,35493e1c-2884-5b0e-af70-68914b90ef25,new,18,foundation,true,false
2,6e64c985-ff2a-5a01-9124-ecbc3646c82f,new,19,foundation,true,false
2,d1ed4a9c-7842-5414-9de5-8f400b5662f6,new,20,foundation,true,false
2,4d821d2d-3e86-5b54-b816-520d416ff979,new,21,foundation,true,false
2,947e0e3a-a3f0-5bf0-af58-dc9480d04017,new,22,foundation,true,false
2,b484ebee-6873-5b66-94a7-25f82a549c06,new,23,foundation,true,false
2,7c0ffc26-c970-5638-94ad-7d256b25dd8d,new,24,foundation,true,false
2,53ad78bd-d644-5575-8cca-9fb1a76d6fcb,new,25,foundation,true,false
2,26738ba2-e2d0-5ccf-b434-9a93f1d9b439,new,26,foundation,true,false
2,f35b3ef4-4f5c-5ac8-bdc5-585516c726c0,new,27,foundation,true,false
2,93cf2c78-8fd9-57e9-939e-2b9da00cd239,new,28,foundation,true,false
2,450550ba-e299-5612-a11b-89aa0b30f03f,new,29,foundation,true,false
2,9235cae8-7063-56ae-b9ab-674542ddf5db,new,30,foundation,true,false
2,244be9df-1d0d-5f95-99fc-c3a34f45c3f2,new,31,foundation,true,false
2,81d3908d-2fed-5641-8960-ca7e2f7e01f8,new,32,foundation,true,false
2,67d7c662-bb72-5c82-96ce-d131dfd0e97f,new,33,foundation,true,false
2,5c515fef-fdba-5716-a3e1-f539ab48cdd9,new,34,foundation,true,false
2,7bae26df-f96b-5fbc-93fa-34436a3a6998,new,35,foundation,true,false
2,21d515a3-1065-5124-92a7-0d45d5f10410,new,36,foundation,true,false
2,8eddbebf-1e55-5bce-8af8-889314c768ed,new,37,foundation,true,false
2,9b3bbdf2-cf96-580c-a86d-84d98a4e0dae,new,38,foundation,true,false
2,a2f63f21-8d8b-50ad-bebf-8eccc7a44ad4,new,39,foundation,true,false
2,6c5438ae-7a6f-50c2-8c81-304c517555a0,new,40,foundation,true,false
2,03331618-dfd4-56c7-b9cc-44ef66b709db,new,41,foundation,true,false
2,8c630363-cd17-5ef2-a84d-cb971c0caf07,new,42,general_ielts,true,false
2,1aca7022-2f75-5faf-a8be-707a311376d1,new,43,foundation,true,false
2,f977eef8-e770-5a99-871c-37d92284bc0c,new,44,foundation,true,false
2,10b7ebce-3330-5b7b-854a-3c42d11900f0,new,45,foundation,true,false
3,d8aa4592-9f8d-50ee-989b-e391761ce82c,new,1,foundation,true,false
3,de4404c1-3d3b-502d-9b7a-42b14ee4769b,new,2,foundation,true,false
3,a06bfa59-3158-5c65-b3e4-7f4201fd2174,new,3,foundation,true,false
3,12de099a-b401-5b0a-ab98-9c5893ee52fa,new,4,foundation,true,false
3,819d1b9f-2dfb-576c-b3fc-237c007c878f,new,5,foundation,true,false
3,4eec6b22-7589-5961-9701-51cfa1aafedc,new,6,foundation,true,false
3,28173cca-fd95-5304-9bb6-3ddf5957ee80,new,7,foundation,true,false
3,04c7333b-d3de-5584-8bde-2e79d26e259c,new,8,foundation,true,false
3,9cccae4b-b7b3-5314-8da7-7391d887755a,new,9,foundation,true,false
3,dfbbd175-590c-52bf-999a-4ad8d527b299,new,10,foundation,true,false
3,a2580559-3afa-52ce-ab17-e8d73a0014d3,new,11,foundation,true,false
3,c9ffc9fe-0c71-5d2d-9fb6-f3a5a48f31e9,new,12,foundation,true,false
3,09d6b176-d0ed-5f51-a970-4380fe06c1ee,new,13,foundation,true,false
3,5b922210-27ca-57be-abda-0340508cbd33,new,14,foundation,true,false
3,5819dd44-6b1e-5b80-a5eb-5db36f865d87,new,15,general_ielts,true,false
3,65dd96a0-5d8d-55f8-803f-a93132aebd14,new,16,foundation,true,false
3,f07dcc86-acbc-5353-bc8c-3eb0a9a2bf72,new,17,general_ielts,true,false
3,26d32391-3e37-53b4-b891-29c1d9285b65,new,18,foundation,true,false
3,e2b2450f-c8e9-50dd-ae7b-bfbc36ca2900,new,19,foundation,true,false
3,545c08d8-78da-578e-b39f-0baf3e9cee15,new,20,foundation,true,false
3,c55f6b0b-4bde-5b39-99a7-745e348d9db4,new,21,general_ielts,true,false
3,5bfdb0db-9c36-5e0f-84f3-86fe8bbdb91e,new,22,foundation,true,false
3,aa51a16a-4923-5993-a543-1001db85c04e,new,23,foundation,true,false
3,5ef3bfcc-5e1b-5724-8ceb-6fe824e02e3f,new,24,foundation,true,false
3,2e267928-e248-5cee-a064-2071f96b0d6e,new,25,foundation,true,false
3,a2c6a537-f34a-53d5-94c1-902d7253394a,new,26,foundation,true,false
3,53dd57d1-b7b4-5869-aed6-69088fe5e829,new,27,foundation,true,false
3,432fbebf-fa75-5935-afbc-822855110a52,new,28,foundation,true,false
3,3cca23d8-b659-56ce-8d2f-54e666f47509,new,29,foundation,true,false
3,690c73c3-ac3a-5a11-b9d2-106e445659cd,new,30,foundation,true,false
3,4c11242b-bbca-53e4-aa08-210282140112,new,31,foundation,true,false
3,8fca57d7-e961-5345-8c62-efcd8547fb2d,new,32,general_ielts,true,false
3,832f7619-e297-5c5c-8e3e-548c821c84ff,new,33,foundation,true,false
3,4fed3d1a-de2a-5b8f-91e7-5e8af12eb8d1,new,34,foundation,true,false
3,f8763aac-31ee-5aa7-8b15-5aa09dc5f0ad,new,35,foundation,true,false
3,5867aca3-b11d-5a2d-bd7c-54a346c4931e,new,36,foundation,true,false
3,6ef06b39-d11e-5274-97ce-8f9492303d9b,new,37,general_ielts,true,false
3,1a9a484a-415f-5492-8606-7840b49fcae2,new,38,foundation,true,false
3,a29b0548-680f-5fd6-a4e7-339e7d3faf9c,new,39,foundation,true,false
3,6b53dbc5-4550-561d-80e7-72dd51d34524,new,40,foundation,true,false
3,cafe6556-95dd-516b-b85c-c9fcf54b3058,new,41,general_ielts,true,false
3,d12d2447-6bad-5894-aa41-5eb96f68c1db,new,42,foundation,true,false
3,5484abcb-b70f-52de-8b99-c02d92a98de4,new,43,foundation,true,false
3,a11a509b-9425-59f7-895b-81cb2c03bc71,new,44,general_ielts,true,false
3,35f3e46f-2ee2-5633-b76f-913627996ef4,new,45,foundation,true,false
4,9c91b6cf-0620-51a6-8c90-9e3924e15894,new,1,foundation,true,false
4,8d080aba-a26c-5884-a573-203e6db37b15,new,2,foundation,true,false
4,3421d574-f85a-5b57-9930-7196ab6d060e,new,3,foundation,true,false
4,908bc68b-7a2b-5b47-9562-e4db3ab060ee,new,4,foundation,true,false
4,b48a70c8-740a-5e50-b06b-618dcfca49ac,new,5,foundation,true,false
4,28814bd9-11b1-5227-86c9-7bccba77715e,new,6,foundation,true,false
4,8ffa69c9-a924-5217-b2b2-62b3bbe3447b,new,7,foundation,true,false
4,4a669547-f687-5e9f-9390-bcc9459b275b,new,8,foundation,true,false
4,7c3e1b70-804c-5d57-aa90-7964b15a4e80,new,9,foundation,true,false
4,f339465f-0d68-51be-b427-85744f6b240c,new,10,foundation,true,false
4,2acb17cf-3800-575e-ad3e-1c9e2209de9e,new,11,foundation,true,false
4,62022b79-e181-5f12-b36f-1122b06a39eb,new,12,foundation,true,false
4,c3ea42f2-ffd7-5df3-ab80-c02db8e2b321,new,13,foundation,true,false
4,ac1edc3b-12f9-5774-b9af-0cd90d10e74a,new,14,foundation,true,false
4,2628492b-2e66-5114-a0cd-3d2c20550c3a,new,15,foundation,true,false
4,3e0354f7-edc7-52ec-bfd5-2d1c3d2a7e08,new,16,foundation,true,false
4,50e7edee-0e71-5f2f-a891-79fd91fd69ab,new,17,foundation,true,false
4,28783f02-bf7d-5a98-a195-da9227a2328b,new,18,foundation,true,false
4,cf6ef38b-038a-5963-a4c2-7c215991126e,new,19,foundation,true,false
4,f6f7609c-979f-5203-906d-1bd5335371c5,new,20,foundation,true,false
4,0bea869e-55d5-5432-8492-fab23f31a7d7,new,21,foundation,true,false
4,fa8e1c15-49dd-5896-ae6b-50b3268f1f51,new,22,foundation,true,false
4,821d3dbb-8437-5380-ab95-e010784c056b,new,23,foundation,true,false
4,bd52f273-01cb-58c1-95e2-e426cd2b7657,new,24,foundation,true,false
4,b9696101-7cce-54dc-a5a1-dc68debe1d4a,new,25,foundation,true,false
4,facb9455-ee61-59c3-a2c8-2d1134657c98,new,26,foundation,true,false
4,db37b4c7-cdf7-54f3-b0a3-bf7ca614a41e,new,27,foundation,true,false
4,6117a01c-3a8a-517b-9785-75a8156bf93b,new,28,foundation,true,false
4,bc770f57-02cb-5102-a533-187888350484,new,29,foundation,true,false
4,be9dca37-5b5b-5e38-8eed-8398b73fdc35,new,30,foundation,true,false
4,fff00b10-9f9f-5939-a689-b166d010f7f2,new,31,foundation,true,false
4,ac727e9c-e501-5d2a-8ded-2633e9cad846,new,32,foundation,true,false
4,485a271d-db79-53d8-94d3-453525035d29,new,33,foundation,true,false
4,f4f5f7d2-f617-52c9-9573-821b8760381b,new,34,foundation,true,false
4,be53a7fa-e882-5845-b0b7-c2f2710747d8,new,35,foundation,true,false
4,3573551b-5f6f-5814-804d-144f3a92ca50,new,36,foundation,true,false
4,abacf929-c9b5-5085-bf71-74ab473fc856,new,37,foundation,true,false
4,60446f91-64ef-5646-91fe-d0feaf5831e8,new,38,foundation,true,false
4,bdfa0d4e-3a50-50ac-8d6d-560aa48c9d9c,new,39,foundation,true,false
4,13ff5cbd-b3ff-58f9-be7a-9a057e50a121,new,40,foundation,true,false
4,92a4eba4-9647-51f0-a1e5-dacfc3120f07,new,41,foundation,true,false
4,cc42946e-04e2-5c81-93ff-755711ec1eb3,new,42,foundation,true,false
4,e5eb51fc-589d-5de4-95ef-f69798950514,new,43,foundation,true,false
4,a1d71cd6-efc8-56ba-929c-9ccbe0e8a8c8,new,44,foundation,true,false
4,1808e73c-bfa8-54fe-887b-5a9968e5ac09,new,45,foundation,true,false
5,a8ea1c95-01ae-5057-81f8-4409cf602f64,new,1,foundation,true,false
5,29c332d7-3a49-5787-9d57-768be089b097,new,2,foundation,true,false
5,76121aaf-3118-575b-b0a2-cb8ef52c2d81,new,3,foundation,true,false
5,9eae686b-e2ac-52f8-96d4-d2e5211f06d7,new,4,foundation,true,false
5,af2adaf9-f92c-5b26-9316-155cbf59aeb1,new,5,foundation,true,false
5,043a44f7-5e86-5d72-8d2a-0be91ec50c2d,new,6,foundation,true,false
5,3d9ca351-58f6-500f-bc0f-4920217bd308,new,7,foundation,true,false
5,d72f5974-0fe6-5201-ab69-c00e17c4de24,new,8,foundation,true,false
5,1ce943f7-0587-512d-92c4-d5d3fe7cc08f,new,9,foundation,true,false
5,4e31994e-d60f-5cca-bc5c-127665b1691f,new,10,foundation,true,false
5,5d22e84f-c938-50e7-918c-08315568619f,new,11,foundation,true,false
5,bd4498c3-9c24-5711-b706-16a7fef62636,new,12,foundation,true,false
5,84d8676f-0cda-5c55-b0a8-7f1ecee97a9b,new,13,foundation,true,false
5,78c5a796-46ad-58bb-b9eb-0a3c35724818,new,14,foundation,true,false
5,54397d1c-217e-5203-b81e-a8095a484ad1,new,15,foundation,true,false
5,395628aa-0e09-528d-a863-b4bd1e5bfd5c,new,16,foundation,true,false
5,00f98913-7627-5f23-b9b9-e3e0888b1724,new,17,foundation,true,false
5,bd6f02e9-0b78-5a58-b189-2e0bafab05f1,new,18,foundation,true,false
5,14326a65-1325-5f40-bd88-112ca54f0a68,new,19,foundation,true,false
5,b60e3677-eb65-5c4b-b501-c411445a032b,new,20,foundation,true,false
5,38339116-bfe9-5e8a-9ad6-966235b5c0cb,new,21,foundation,true,false
5,186a8908-8616-5f13-be8d-c35fc82d0d40,new,22,foundation,true,false
5,a9c8a60d-d533-50e6-81ff-208c58e178b5,new,23,foundation,true,false
5,e41acab7-29ad-5332-a22d-ddd58491371a,new,24,foundation,true,false
5,2b3a7d07-e381-5801-9a40-fcf9ca8a3a5f,new,25,foundation,true,false
5,1c416ba5-b361-5d7a-a275-00df117c4efa,new,26,foundation,true,false
5,2fe546f1-a3ad-51a6-b787-7723b73baaf0,new,27,foundation,true,false
5,ed6777b0-b091-5ae9-9c69-efdced3ed10a,new,28,foundation,true,false
5,b222da87-ad35-5af3-a97b-fe79d711e640,new,29,foundation,true,false
5,d5575035-88c6-551e-b8dd-45de6019d133,new,30,foundation,true,false
5,bc42250d-e9b0-5548-8520-507905032ee7,new,31,foundation,true,false
5,e1d0b281-bd1d-5357-8c29-6bf28b878198,new,32,foundation,true,false
5,d138c02e-250d-5173-81f2-a28ae44637f6,new,33,foundation,true,false
5,5215b60d-5cd3-5a42-a3eb-0a623e84c11f,new,34,foundation,true,false
5,6f1fdc81-f614-5260-a096-1c9d093de999,new,35,foundation,true,false
5,6d0a7cba-1364-5548-b3aa-3c0d577e9868,new,36,foundation,true,false
5,dc445442-7ec6-5d43-bf3c-6022e778dfcb,new,37,foundation,true,false
5,81510652-c6de-5075-8fc1-0f2ea93237e3,new,38,foundation,true,false
5,b95b0ea1-6fe5-5911-9a67-f26885036a1d,new,39,foundation,true,false
5,f8384550-fef8-5c67-ab11-463e0ad8888d,new,40,foundation,true,false
5,6635203e-9ad1-5faa-a561-4932d0f5c1e3,new,41,foundation,true,false
5,c6457a5d-be5a-5773-869a-d3cf856d2e5f,new,42,foundation,true,false
5,4e5508d3-8261-59db-a090-20056046533f,new,43,foundation,true,false
5,30ebfa46-fded-591b-a067-6c880f089f9b,new,44,foundation,true,false
5,28aec5ee-e0db-58bb-b954-41d155a94b31,new,45,foundation,true,false
