id,sense_id,source_id,quoted_text,matched_span,source_locator,usage_analysis,paper_types,copyright_status,human_review
7e03e5c1-42e2-574b-8c7e-76eab3a1128e,a21ce8dc-720e-597f-b69f-1230eec33f6a,b3335777-dc5f-5448-a777-923e6115c08c,I introduced Neil to the other members of my family.,family,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
57493e01-6c3b-5e93-97da-d0c281bac60c,52f765e5-e468-5d65-9e23-32fe2e05d59a,b3335777-dc5f-5448-a777-923e6115c08c,He's still living with his parents.,parent,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
9620500f-ebd4-5fef-858c-5f73ee85af02,4f6ac419-d836-541b-ae0d-76642b0975f9,b3335777-dc5f-5448-a777-923e6115c08c,I want to buy a present for my mother and father.,mother,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
f40a5dc9-18ff-55b3-8d53-3934d4232b4a,3c6d20e2-e4f3-5afc-8058-e75033bf5972,b3335777-dc5f-5448-a777-923e6115c08c,a child of 3/a 3-year-old child,child,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
476c3c08-de86-5b30-8e90-fbbe48da7182,3020574e-73de-51f6-a10f-bc5ac51d3680,b3335777-dc5f-5448-a777-923e6115c08c,My father died in 2017.,father,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
5e42d6ad-7880-5ab4-a001-541e4282e60a,df621dde-0b01-5bdf-a9b5-6d99ec8cc815,b3335777-dc5f-5448-a777-923e6115c08c,their four-year-old son,son,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
7008fad4-4396-5825-bbb6-479fb82ccdef,c87a4cda-23e1-5c98-8efe-0ec654a4be4c,b3335777-dc5f-5448-a777-923e6115c08c,We have two sons and a daughter.,daughter,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
8ad5e8cd-d44e-5069-9e71-4332a1d0fc37,ea790ea2-3091-590a-9382-4a34110050b5,b3335777-dc5f-5448-a777-923e6115c08c,The baby's crying!,baby,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
d8a394de-d62c-5e63-8895-fa20ab21f117,bab89739-8d84-56fd-bae0-7b57f736aa43,b3335777-dc5f-5448-a777-923e6115c08c,We're brothers.,brother,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
9348fb42-bbca-5e28-a6d9-e9a27c367611,ab1e57cb-ae3e-580e-a4f3-30f59714de7c,b3335777-dc5f-5448-a777-923e6115c08c,That's my dad over there.,dad,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
dbea34ad-6fa5-5e19-b167-8338b165a1fc,f1d7dd00-b6f5-5c36-8884-74d7a1a5a48b,b3335777-dc5f-5448-a777-923e6115c08c,"This is my husband, Steve.",husband,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
c8a450ec-d9d0-5014-9042-deca33f76bbe,c64a79e5-483d-5352-b614-92ed0ffb6196,b3335777-dc5f-5448-a777-923e6115c08c,I met my wife at university.,wife,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
a515850c-7d32-52d4-b23b-fef30b1bd1ec,984a8d58-de7e-54cf-96cf-391d0991b6eb,b3335777-dc5f-5448-a777-923e6115c08c,She's my sister.,sister,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
95f07efc-9b86-5f50-a7db-72eba671d7d0,2581a8bc-9c9d-594a-8d91-454f0788f557,b3335777-dc5f-5448-a777-923e6115c08c,a married man/woman,married,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
d3a6a09a-ac86-5522-bb17-a0572a4aeb95,409986c8-ffcc-53b7-aace-b384482ff18c,b3335777-dc5f-5448-a777-923e6115c08c,Children must be accompanied by an adult.,adult,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
1ee7065a-4084-5a8e-8962-45bbccfbc770,e1bcf777-956c-5d38-a71e-250e52b99b59,b3335777-dc5f-5448-a777-923e6115c08c,What sort of person would do a thing like that?,person,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
a9c12e42-b75b-54c1-9b9f-23f1e12a7deb,c6e0f7e8-2f18-5d03-b237-ea25fc5107e4,b3335777-dc5f-5448-a777-923e6115c08c,Aunt Alice,aunt,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
abf1f2a5-cb11-545f-9ef7-777bcf078b30,69792b86-17a5-5f99-9911-cf5c1bd0aa3d,b3335777-dc5f-5448-a777-923e6115c08c,a little/small/young boy,boy,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
aa441573-32ee-5a79-88eb-b5c9c86b5836,458a2405-f0ad-53a0-a1c5-663fbd569b0a,b3335777-dc5f-5448-a777-923e6115c08c,a little girl of six,girl,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
f8674cc7-cb41-520a-a924-39965e82ca61,4c80dff6-1e30-561b-9f6c-6d34609a9b22,b3335777-dc5f-5448-a777-923e6115c08c,a happy/an unhappy marriage,marriage,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
5b4ce90d-8fc5-5239-9a3d-91f864a973a8,0befb6d0-3c67-523f-9830-41b1ba30d733,b3335777-dc5f-5448-a777-923e6115c08c,Uncle Ian,uncle,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
159d66c7-e5b9-5a63-aecd-5b8445cc2c63,30cf9efc-ebe2-5a85-853c-4789e422407d,b3335777-dc5f-5448-a777-923e6115c08c,She's my cousin.,cousin,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
d804b252-adb2-531c-9ade-06faa6ee64e4,6f670f3e-dc90-5273-967f-5e1d0e4fb54a,b3335777-dc5f-5448-a777-923e6115c08c,a good-looking young man,man,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
4859815e-306a-5ab8-af0f-0ecb52987462,f9592995-d353-53be-8469-a7ea8dbc5de1,b3335777-dc5f-5448-a777-923e6115c08c,a 54-year-old woman,woman,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
fd0bb760-73d8-5c4a-baba-dadcd6d9cd30,ec9f082c-42d4-56e9-a7a3-7ad8e038728d,b3335777-dc5f-5448-a777-923e6115c08c,You're the same age as my brother.,age,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
09dd9de2-5185-5a37-8e69-69a265c1c29d,59201284-fb3a-54a7-9a11-bb0827260e87,b3335777-dc5f-5448-a777-923e6115c08c,a close/distant relative,relative,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
22666286-b28c-50b1-bc39-b6c80ce782d3,b9d1927f-8156-53f9-ab7e-a03dd49a3ec8,b3335777-dc5f-5448-a777-923e6115c08c,I always loved going to visit my grandmother.,grandmother,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
4cbcde69-3845-5460-a879-57c052e53eca,3da1f81f-cbe2-5a81-9acf-5cd9451bf93d,b3335777-dc5f-5448-a777-923e6115c08c,At least ten people were killed in the crash.,people,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
09bcf89d-c04a-5f1c-9ad0-143a8d41ed18,4c1c4ca1-9c12-5d99-9a7a-945083c7efaa,b3335777-dc5f-5448-a777-923e6115c08c,The firm had been founded by his grandfather.,grandfather,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
c660868c-1fe0-52c5-8ff0-1c62b5373c12,3f4c9516-cf61-5007-8264-385a2c38c3ca,b3335777-dc5f-5448-a777-923e6115c08c,This is my friend Tom.,friend,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
7f4dde8c-ce30-5644-a6ec-95afe7e14d04,0b3f2002-c5a5-52d9-b4ca-c72d24e495a9,b3335777-dc5f-5448-a777-923e6115c08c,Do you have any kids?,kid,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
f17fb3c0-c2a0-5aab-b850-f1a4ada45ace,dc20cba3-d589-5996-a220-bab69f868f9b,b3335777-dc5f-5448-a777-923e6115c08c,What's your name?,name,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
aba71227-fffc-5da4-9701-5bb349951046,3b4751c0-c42d-58a3-8492-fef90debae3a,b3335777-dc5f-5448-a777-923e6115c08c,Young babies need to be wrapped up warmly.,young,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
23fbd494-e17a-53bb-bfb1-c4466b214bec,7b0b962f-ca73-5289-8ab7-b1b27d15b765,b3335777-dc5f-5448-a777-923e6115c08c,The children are staying with their grandparents.,grandparent,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
8d3d18fd-f421-5d62-acb1-ce3d3b31eafc,08dd3a2f-4c5f-5224-a479-788cb15b004f,b3335777-dc5f-5448-a777-923e6115c08c,a magazine aimed at teenagers,teenager,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
92cab17b-c0fa-5070-8e78-1e894e480785,2281d0a2-880f-5a04-8370-dd0703af0688,b3335777-dc5f-5448-a777-923e6115c08c,She's expecting twins.,twin,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
6186d57e-5492-5e64-a8d3-18d2897d14ba,56dcf74b-2a92-52cb-a03d-4203ecb35e10,b3335777-dc5f-5448-a777-923e6115c08c,"at birth, The baby weighed three kilos at birth.",birth,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
4c6c4969-1ee6-5ebd-9d24-7ff3ad1e72e3,04cba3c7-2e01-5920-9389-9d285c7ef90a,b3335777-dc5f-5448-a777-923e6115c08c,a heavy weight/load,heavy,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
8c1837ce-1924-5071-a2b1-4c85995f3a25,edeaa218-22a5-5fb1-96ad-d20f771264ec,b3335777-dc5f-5448-a777-923e6115c08c,He's strong enough to lift a car!,strong,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
fb699c08-e2e6-5136-b8dc-0a902887af77,ee9fa651-a20f-58d4-949e-c37d68ce5e16,b3335777-dc5f-5448-a777-923e6115c08c,Height: 210 mm. Width: 57 mm. Length: 170 mm.,height,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
af75b381-2e6e-526e-9646-f1f18e8c9582,5bafa0f3-f622-58da-ab90-bedc0ea45dd1,b3335777-dc5f-5448-a777-923e6115c08c,a pretty/pale/round face,face,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
b517e417-64dc-50d1-bec4-a1095d2b8edb,14c7a9c7-ca1f-5177-9799-bd2e2ddfb43b,b3335777-dc5f-5448-a777-923e6115c08c,a beautiful woman/girl,beautiful,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
c079738e-31ac-56bc-9325-40743274bc01,f1900b28-2319-5819-b280-3b931566c3a2,b3335777-dc5f-5448-a777-923e6115c08c,"in somebody's youth, He had been a talented musician in his youth.",youth,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
054aa7b5-9cd0-5155-9869-4a7338e2587c,e2ea3ab6-9341-51b3-8d40-ff47c6858f40,b3335777-dc5f-5448-a777-923e6115c08c,The suspect has dark hair and green eyes.,eye,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
0a886f63-5fcf-58f8-a84b-faec6e7b3190,899cf71a-9d34-55ac-972b-fd2f3cb32203,b3335777-dc5f-5448-a777-923e6115c08c,She's tall and thin.,tall,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
52b1d257-0865-5f56-a411-741444e50889,6f9ef7f1-5b8f-595d-82e6-b87eb07ba92d,b3335777-dc5f-5448-a777-923e6115c08c,She has long dark hair.,hair,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
52d026eb-e134-5552-ac2a-f5b11da70803,02e65940-25cc-5ab2-82f5-766056214ab1,b3335777-dc5f-5448-a777-923e6115c08c,a pretty face,pretty,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
c4cd1b5d-8625-51df-b369-2b39ead5aa30,3da62256-c643-5307-9958-89b6f43ba525,b3335777-dc5f-5448-a777-923e6115c08c,a healthy child/baby/adult,healthy,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
56f58e82-df8c-527f-bde9-22eb50b6bb86,f8470e60-0e8c-56bd-914e-c557612687d7,b3335777-dc5f-5448-a777-923e6115c08c,She is still weak after her illness.,weak,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
bb5785bb-1dbb-587f-8f25-c2d457514867,35493e1c-2884-5b0e-af70-68914b90ef25,b3335777-dc5f-5448-a777-923e6115c08c,Ian placed a hand on her shoulder.,hand,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
ab4ca973-8b21-5edd-b127-3c97e411c405,6e64c985-ff2a-5a01-9124-ecbc3646c82f,b3335777-dc5f-5448-a777-923e6115c08c,My feet are aching.,,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
8c93253b-d4a3-5799-9305-27291cd82220,d1ed4a9c-7842-5414-9de5-8f400b5662f6,b3335777-dc5f-5448-a777-923e6115c08c,She nodded her head in agreement.,head,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
424dae81-c5d8-5900-8fb3-fa4a85f70093,4d821d2d-3e86-5b54-b816-520d416ff979,b3335777-dc5f-5448-a777-923e6115c08c,The human body is a complex structure.,body,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
6bf9d58c-8e69-5dfd-97e8-5336d37cbed8,947e0e3a-a3f0-5bf0-af58-dc9480d04017,b3335777-dc5f-5448-a777-923e6115c08c,He escaped with only a broken arm.,arm,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
1809dcf4-9caf-54e1-9f07-c57b6329c5a2,b484ebee-6873-5b66-94a7-25f82a549c06,b3335777-dc5f-5448-a777-923e6115c08c,She had dark eyes and a long narrow nose.,nose,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
dba96bf1-7518-596d-8bd7-7d194536c0ff,7c0ffc26-c970-5638-94ad-7d256b25dd8d,b3335777-dc5f-5448-a777-923e6115c08c,She opened her mouth to say something.,mouth,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
622f0f48-d9bc-5304-948f-b08f9ed01696,53ad78bd-d644-5575-8cca-9fb1a76d6fcb,b3335777-dc5f-5448-a777-923e6115c08c,"childhood, adolescence, and adulthood",childhood,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
e31f4524-1384-5f34-bdfa-09e8b1ea6b74,26738ba2-e2d0-5ccf-b434-9a93f1d9b439,b3335777-dc5f-5448-a777-923e6115c08c,to have dark/pale skin,skin,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
36f3232e-e080-57ce-8f32-959843b8732f,f35b3ef4-4f5c-5ac8-bdc5-585516c726c0,b3335777-dc5f-5448-a777-923e6115c08c,the left/right ear,ear,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
17c78649-80aa-5851-8d73-640a8c94596f,93cf2c78-8fd9-57e9-939e-2b9da00cd239,b3335777-dc5f-5448-a777-923e6115c08c,"Sit on the floor, stretching your legs out in front of you.",leg,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
949d4146-657e-5746-8004-24602cd136e0,450550ba-e299-5612-a11b-89aa0b30f03f,b3335777-dc5f-5448-a777-923e6115c08c,I've just had a tooth out at the dentist's.,tooth,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
8e03fa29-01cb-575e-848f-7c15380eb3e0,244be9df-1d0d-5f95-99fc-c3a34f45c3f2,b3335777-dc5f-5448-a777-923e6115c08c,"look at somebody/something, Here, have a look at this.",look,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
f910cd1a-3f88-5e6a-9cf9-115a03759f5b,81d3908d-2fed-5641-8960-ca7e2f7e01f8,b3335777-dc5f-5448-a777-923e6115c08c,to laugh out loud,laugh,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,{},private_study_only,false
