topic_id,topic,subtopic,ielts_paper_type,band_min,band_max,word_goal,candidate_goal,approx_levels,chinese_learner_priority,human_review,notes
daily_life_people_and_family,Daily Life,people and family,General,4.0,4.0,160,280,1-3,high,F,Beginner concrete nouns and adjectives for family age appearance relationships and Speaking Part 1.
daily_life_home_and_objects,Daily Life,home and objects,General,4.0,4.0,160,280,4-6,high,F,Rooms furniture household objects daily routines and concrete home vocabulary.
daily_life_food_and_drink,Daily Life,food and drink,General,4.0,4.0,160,280,7-9,high,F,Meals cooking food types restaurants and common Speaking Part 1 vocabulary.
daily_life_time_and_numbers,Daily Life,time and numbers,General,4.0,4.0,140,240,10-12,high,F,Days months ordinals duration dates schedules and basic time expressions.
daily_life_basic_actions_and_verbs,Daily Life,basic actions and verbs,General,4.0,4.0,180,320,13-16,high,F,Common action verbs needed across topics. Avoid highly polysemous verbs unless manually reviewed.
daily_life_colours_shapes_and_descriptions,Daily Life,colours shapes and descriptions,General,4.0,4.0,140,240,17-19,medium,F,Basic adjectives shapes size colour texture and simple description language.
daily_life_feelings_and_emotions,Daily Life,feelings and emotions,Speaking,4.0,4.0,140,240,20-22,high,F,Basic emotion and opinion vocabulary for Speaking Part 1 and Part 2.
daily_life_school_and_study_basics,Daily Life,school and study basics,General,4.0,4.0,140,240,23-25,high,F,Student teacher class homework exam and school life basics for Chinese learners.
daily_life_travel_and_places,Daily Life,travel and places,Speaking/Listening,4.0,4.0,160,280,26-29,high,F,Places directions trips hotels transport words and common Listening/Speaking contexts.
daily_life_shopping_and_money_basics,Daily Life,shopping and money basics,Listening/Speaking,4.0,4.0,120,220,30-32,medium,F,Prices payment shops services and Listening Section 1 transaction vocabulary.
daily_life_body_and_health_basics,Daily Life,body and health basics,Speaking/Listening,4.0,4.0,140,240,33-35,high,F,Body parts symptoms basic healthcare and doctor-visit listening vocabulary.
daily_life_animals_and_nature_basics,Daily Life,animals and nature basics,General,4.0,4.0,120,220,36-38,medium,F,Common animals plants natural features and beginner-safe nature vocabulary.
daily_life_weather_and_seasons,Daily Life,weather and seasons,General,4.0,4.0,120,220,39-41,medium,F,Weather seasons temperature climate basics and common Speaking/Listening vocabulary.
daily_life_sports_and_leisure,Daily Life,sports and leisure,Speaking,4.0,4.0,140,240,42-44,medium,F,Hobbies sports entertainment leisure and common Speaking Part 1/2 vocabulary.
daily_life_transport_and_getting_around,Daily Life,transport and getting around,Listening,4.0,4.0,120,220,45-47,medium,F,Buses trains airports routes directions and public transport listening vocabulary.
daily_life_numbers_and_quantity,Daily Life,numbers and quantity,General,4.0,4.0,120,220,48-50,medium,F,Measurements quantities comparisons percentages and cross-topic numerical language.
daily_life_clothes_and_appearance,Daily Life,clothes and appearance,Speaking,4.0,4.0,100,180,51-54,low,F,Clothing appearance style and lower-frequency but concrete Speaking vocabulary.
education_school_systems_and_structure,Education,school systems and structure,Writing/Speaking,4.5,5.0,220,380,55-60,high,F,Primary secondary curriculum compulsory schooling policy and core Task 2 education terms.
education_university_and_higher_education,Education,university and higher education,Writing/Speaking,4.5,5.5,220,380,61-66,high,F,Degree campus tuition graduate admission scholarship and Chinese learner priority terms.
education_teaching_and_learning_methods,Education,teaching and learning methods,Writing/Speaking,5.0,5.5,220,380,67-72,high,F,Lecture seminar rote learning critical thinking classroom methods and essay collocations.
education_exams_and_assessment,Education,exams and assessment,Writing/Reading,4.5,5.5,220,380,73-77,high,F,Exam assessment grade pressure qualification certificate and test-oriented learner vocabulary.
education_online_and_technology_in_education,Education,online and technology in education,Writing/Speaking,5.5,6.0,220,380,78-81,high,F,E-learning distance learning online classroom educational technology and post-pandemic topics.
health_medical_care_and_treatment,Health,medical care and treatment,Reading/Listening,4.5,5.0,220,380,82-87,high,F,Hospital doctor patient treatment surgery disease prevention and health Reading vocabulary.
health_diet_nutrition_and_lifestyle,Health,diet nutrition and lifestyle,Writing/Speaking,4.5,5.5,220,380,88-93,high,F,Diet obesity nutrition exercise lifestyle habit and frequent Task 2 health topics.
health_mental_health_and_wellbeing,Health,mental health and wellbeing,Writing/Speaking,5.5,6.0,200,340,94-99,medium,F,Stress anxiety depression wellbeing pressure and growing IELTS Speaking/Writing area.
environment_natural_world_and_ecosystems,Environment,natural world and ecosystems,Reading,4.5,5.0,250,430,100-105,high,F,Species habitat ecosystem biodiversity wildlife and Academic Reading environment vocabulary.
environment_climate_change_and_global_warming,Environment,climate change and global warming,Writing/Speaking,5.0,6.0,300,520,106-114,high,F,Emissions carbon warming drought extreme weather and top Task 2 topic in China test prep.
environment_pollution_and_waste,Environment,pollution and waste,Writing/Speaking,5.0,5.5,260,450,115-120,high,F,Pollution waste recycle contaminate plastic landfill and very frequent essay vocabulary.
environment_conservation_and_sustainability,Environment,conservation and sustainability,Writing/Reading,5.5,6.5,280,480,121-126,high,F,Renewable sustainable conservation deforestation resource protection and high-value collocations.
technology_everyday_technology,Technology,everyday technology,Speaking/Listening,4.5,5.0,180,310,127-130,high,F,Devices screens apps internet communication and everyday digital-life vocabulary.
technology_digital_society_and_internet,Technology,digital society and internet,Writing/Speaking,5.5,6.5,260,450,131-136,high,F,Social media privacy data cybercrime online behaviour and very common Task 2 topic.
technology_science_and_innovation,Technology,science and innovation,Reading/Writing,6.0,7.0,260,450,137-142,high,F,Innovation breakthrough research artificial intelligence invention and Academic Reading terms.
technology_automation_and_future_of_work,Technology,automation and future of work,Writing,6.0,7.0,220,380,143-144,high,F,Automation robotics workforce replacement productivity and high-band future-work arguments.
work_jobs_and_career_basics,Work,jobs and career basics,Speaking/Listening,4.5,5.0,220,380,145-150,high,F,Jobs salary workplace colleague interview and common Speaking Part 1/2 vocabulary.
work_workplace_skills_and_qualities,Work,workplace skills and qualities,Writing/Speaking,5.0,6.0,220,380,151-154,medium,F,Leadership teamwork communication motivation responsibility and employability collocations.
work_employment_trends,Work,employment trends,Writing/Reading,6.0,7.0,220,380,155-158,medium,F,Unemployment flexible work remote work labour market and Task 2 employment vocabulary.
work_business_and_entrepreneurship,Work,business and entrepreneurship,Writing/Reading,6.0,7.0,200,340,159-162,medium,F,Company profit market startup investment consumer and business-track IELTS vocabulary.
society_urban_life_and_cities,Society,urban life and cities,Writing/Reading,5.5,6.5,260,450,163-168,high,F,Urban rural infrastructure congestion housing migration and very common Task 2 topic.
society_crime_and_law,Society,crime and law,Writing/Reading,5.5,6.5,260,450,169-174,high,F,Crime punishment law justice prison prevention and legal vocabulary Chinese learners struggle with.
society_family_and_social_change,Society,family and social change,Writing/Speaking,5.0,6.0,220,380,175-177,high,F,Marriage ageing generation parenting divorce and common Chinese IELTS essay topic.
society_gender_equality_and_rights,Society,gender equality and rights,Writing/Speaking,6.0,7.0,220,380,178-180,medium,F,Gender equality discrimination rights opportunity and higher-band social issues vocabulary.
media_news_and_journalism,Media,news and journalism,Reading/Writing,5.5,6.5,220,380,181-184,high,F,Media journalist broadcast bias censorship misinformation and Academic Reading/Task 2 terms.
media_advertising_and_marketing,Media,advertising and marketing,Writing/Reading,5.5,6.5,220,380,185-188,high,F,Advertising brand consumer influence promotion and frequent Task 2 topic vocabulary.
media_social_media_and_communication,Media,social media and communication,Writing/Speaking,5.5,6.5,220,380,189-192,high,F,Platform content viral communication privacy influence and current high-frequency IELTS topic.
government_politics_and_policy,Government,politics and policy,Writing/Reading,6.0,7.0,220,380,193-196,medium,F,Policy legislation government democracy regulation and cautious high-band Reading/Writing vocabulary.
government_public_services_and_welfare,Government,public services and welfare,Writing/Reading,6.0,7.0,220,380,197-200,medium,F,Tax welfare subsidy public sector healthcare education funding and government-responsibility essays.
government_international_relations,Government,international relations,Reading/Writing,6.5,7.5,200,340,201-204,medium,F,Diplomacy treaty sanction trade cooperation conflict and higher-band Academic Reading vocabulary.
economy_personal_finance_and_banking,Economy,personal finance and banking,Listening/Reading,5.0,6.0,180,310,205-207,high,F,Bank loan debt budget savings insurance and practical Listening/Reading finance terms.
economy_national_economy_and_growth,Economy,national economy and growth,Writing/Reading,6.5,7.5,240,420,208-212,medium,F,Inflation recession GDP productivity consumption and high-band economy Reading/Writing vocabulary.
economy_global_trade_and_development,Economy,global trade and development,Reading/Writing,7.0,8.0,220,380,213-216,medium,F,Export import globalisation development inequality investment and high-band academic topics.
science_biology_and_human_body,Science,biology and human body,Reading,5.5,6.5,200,340,217-219,medium,F,Cell organ gene evolution disease and common Academic Reading science vocabulary.
science_physics_and_chemistry_basics,Science,physics and chemistry basics,Reading,6.0,7.0,180,310,220-222,low,F,Element molecule reaction force energy and occasional Academic Reading science vocabulary.
science_space_and_astronomy,Science,space and astronomy,Reading,6.5,7.5,180,310,223-225,low,F,Planet orbit galaxy telescope mission and occasional Reading passage vocabulary.
science_research_and_data,Science,research and data,Reading/Writing,6.5,8.0,260,450,226-231,medium,F,Hypothesis experiment evidence analyse result data and core Academic Reading/Task 1 language.
academic_language_academic_verbs,Academic Language,academic verbs,Writing/Reading,6.0,8.0,220,380,232,high,F,AWL-style verbs such as demonstrate indicate suggest attribute contribute and evaluate.
academic_language_academic_nouns,Academic Language,academic nouns,Writing/Reading,6.0,8.0,240,420,233,high,F,Abstract nouns such as factor impact trend implication approach evidence and outcome.
academic_language_academic_adjectives_and_adverbs,Academic Language,academic adjectives and adverbs,Writing/Reading,6.0,8.0,220,380,234,high,F,Formal modifiers such as significant considerable substantial relatively and approximately.
academic_language_cause_and_effect,Academic Language,cause and effect language,Writing,6.0,8.0,220,380,235,high,F,Causation consequence result lead-to contribute-to and Task 2 reasoning vocabulary.
academic_language_comparison_and_contrast,Academic Language,comparison and contrast language,Writing/Reading,6.0,8.0,220,380,236,high,F,Whereas while compared with in contrast similar distinct and chart comparison language.
academic_language_stance_and_evaluation,Academic Language,stance and evaluation language,Writing/Speaking,6.5,8.0,220,380,237,high,F,Argue claim assume valid problematic beneficial harmful and high-band opinion language.
academic_language_data_and_trend,Academic Language,data and trend language,Writing,6.5,8.0,240,420,238,high,F,Increase decline fluctuate proportion percentage peak remain stable and Task 1 language.
academic_language_argument_and_counterargument,Academic Language,argument and counterargument language,Writing,7.0,8.0,260,450,239-240,high,F,However nevertheless opponents proponents justify refute concession and high-band essay structure.
