example_id,headword,sense_id,sentence_en,translation_zh,target_span,difficulty_band,origin,evidence_ids,copyright_status,review_status,human_review,notes
pe_family_1,family,family_n_1,She comes from a close family with three brothers and two sisters.,她来自一个有三个兄弟和两个姐妹的亲密家庭。,family,4.0,ai_generated_from_sources,ev_family_1,public_domain,pending,F,Simple sentence. Target span is singular family. Collocations: close family / comes from a family. No culturally sensitive content.
pe_family_2,family,family_n_1,Starting a family is one of the most important decisions in a person's life.,组建家庭是一个人一生中最重要的决定之一。,family,4.0,ai_generated_from_sources,ev_family_1,public_domain,pending,F,Collocation: start a family. Future-planning context natural for Speaking Part 2. No sensitive content.
pe_parent_1,parent,parent_n_1,Her parents moved to a new city before she was born.,她的父母在她出生之前搬到了一个新城市。,parents,4.0,ai_generated_from_sources,ev_parent_1,public_domain,pending,F,Common plural usage. Simple past tense. Support vocabulary: move / city / born.
pe_parent_2,parent,parent_n_1,Being a good parent requires both patience and a lot of time.,做一个好父母既需要耐心，也需要花很多时间。,parent,4.0,ai_generated_from_sources,ev_parent_1,public_domain,pending,F,Gerund subject (Being a good parent). Collocations: good parent / requires patience. B1-safe vocabulary throughout.
pe_generation_1,generation,generation_n_1,Young people today have very different values from their parents' generation.,今天的年轻人与父母那一代的价值观大相径庭。,generation,4.0,ai_generated_from_sources,ev_generation_1,public_domain,pending,F,Cross-topic reuse of value (pf_017). Collocations: parents' generation / younger generation. Common IELTS essay phrase.
pe_generation_2,generation,generation_n_1,Family traditions are often passed down from one generation to the next.,家庭传统往往从一代人传到下一代。,generation,4.0,ai_generated_from_sources,ev_generation_1,public_domain,pending,F,Collocation: from one generation to the next. Cross-topic reuse of tradition (pf_006). Highly essay-ready phrase.
pe_marriage_1,marriage,marriage_n_1,Their marriage has lasted for more than forty years.,他们的婚姻持续了四十多年。,marriage,4.0,ai_generated_from_sources,ev_marriage_1,public_domain,pending,F,Simple declarative. Collocation: a marriage lasts. Numbers and time expressions are L10-12 topic but assumed as prior knowledge.
pe_marriage_2,marriage,marriage_n_1,Many young people delay marriage until they feel financially secure.,许多年轻人推迟结婚，直到他们感到经济上有保障。,marriage,4.0,ai_generated_from_sources,ev_marriage_1,public_domain,pending,F,Collocation: delay marriage / financially secure. Common IELTS Speaking Part 3 topic. Cross-topic reuse of financially/secure as support vocabulary.
pe_relationship_1,relationship,relationship_n_1,A strong relationship between parents and children is important for family life.,父母与子女之间牢固的关系对家庭生活非常重要。,relationship,4.0,ai_generated_from_sources,ev_relationship_1,public_domain,pending,F,Collocation: strong relationship / relationship between A and B. Cross-topic reuse of family (pf_001) and parent (pf_002).
pe_relationship_2,relationship,relationship_n_1,She has always had a close relationship with her grandmother.,她与祖母一直关系亲密。,relationship,4.0,ai_generated_from_sources,ev_relationship_1,public_domain,pending,F,Collocation: close relationship. Simple declarative with adverb always for emphasis. Grandmother is A1 support word.
pe_tradition_1,tradition,tradition_n_1,Eating dinner together as a family is a tradition in many cultures.,全家人一起吃晚饭是许多文化中的一种传统。,tradition,4.0,ai_generated_from_sources,ev_tradition_1,public_domain,pending,F,Gerund subject. Cross-topic reuse of culture (pf_016) and family (pf_001). Concrete and culturally neutral example.
pe_tradition_2,tradition,tradition_n_1,The tradition of telling stories to children before bed is still common today.,睡前给孩子讲故事的传统在今天仍然很普遍。,tradition,4.0,ai_generated_from_sources,ev_tradition_1,public_domain,pending,F,Collocation: maintain a tradition / still common. Cultural but universally relatable. No sensitive content.
pe_role_1,role,role_n_1,The role of fathers in childcare has changed greatly over the past fifty years.,过去五十年里，父亲在育儿中的角色发生了很大变化。,role,4.0,ai_generated_from_sources,ev_role_1,public_domain,pending,F,Collocation: play a role / the role of. Common IELTS Task 2 sentence structure: The role of X has changed. Cross-topic reuse of father (support word).
pe_role_2,role,role_n_1,Parents play an important role in helping children develop good habits.,父母在帮助孩子养成良好习惯方面发挥着重要作用。,role,4.0,ai_generated_from_sources,ev_role_1,public_domain,pending,F,Fixed collocation: play an important role in. Very common IELTS essay phrase. Cross-topic reuse of parent (pf_002).
pe_responsibility_1,responsibility,responsibility_n_1,Looking after elderly parents is a responsibility that many adult children take seriously.,照顾年迈的父母是许多成年子女认真对待的责任。,responsibility,4.0,ai_generated_from_sources,ev_responsibility_1,public_domain,pending,F,Cross-topic reuse of elderly (pf_009). Collocation: take on a responsibility / feel a sense of responsibility. Common IELTS ageing topic.
pe_responsibility_2,responsibility,responsibility_n_1,Teaching children about responsibility helps them succeed in life.,教导孩子懂得责任感有助于他们在生活中取得成功。,responsibility,4.0,ai_generated_from_sources,ev_responsibility_1,public_domain,pending,F,Gerund subject. Collocation: sense of responsibility. Cross-topic reuse of children (support word).
pe_elderly_1,elderly,elderly_adj_1,Many families in China feel it is their duty to care for their elderly relatives at home.,中国许多家庭认为在家中照顾年迈亲属是自己的责任。,elderly,4.0,ai_generated_from_sources,ev_elderly_1,public_domain,pending,T,Contains cultural reference to China. Review to ensure it is framed neutrally and does not imply judgment. Cross-topic reuse of responsibility/duty (pf_008).
pe_elderly_2,elderly,elderly_adj_1,Elderly people often feel lonely when they live far from their family.,当老年人离家人很远时，他们往往会感到孤独。,elderly,4.0,ai_generated_from_sources,ev_elderly_1,public_domain,pending,F,Adjective use of elderly. Collocations: elderly people / feel lonely. Cross-topic reuse of family (pf_001). No sensitive content.
pe_independent_1,independent,independent_adj_1,As children grow older, they naturally become more independent.,随着孩子长大，他们自然地变得更加独立。,independent,4.0,ai_generated_from_sources,ev_independent_1,public_domain,pending,F,Collocation: become independent. Common developmental theme. Cross-topic reuse of child (support word).
pe_independent_2,independent,independent_adj_1,She wanted to be financially independent before starting a family.,她希望在组建家庭之前在经济上独立。,independent,4.0,ai_generated_from_sources,ev_independent_1,public_domain,pending,F,Collocation: financially independent. Cross-topic reuse of family (pf_001). Common life-planning topic in Speaking Part 2.
pe_support_1,support,support_v_1,Parents should support their children's dreams even when they are different from their own.,父母应该支持孩子的梦想，即使这些梦想与自己的不同。,support,4.0,ai_generated_from_sources,ev_support_1,public_domain,pending,F,Verb form taught here. Collocation: support someone's dreams. Cross-topic reuse of parent (pf_002). Modal should for advice tone.
pe_support_2,support,support_v_1,Many people rely on their family for emotional support during difficult times.,许多人在困难时期依靠家人获得情感支持。,support,4.0,ai_generated_from_sources,ev_support_1,public_domain,pending,T,Phrase emotional support uses support as noun not verb. Decide whether to use this as example for noun sense (support_n) or change the sentence to use verb. Flag for review.
pe_raise_1,raise,raise_v_1,She was raised in a small town and later moved to the city for work.,她在一个小镇上长大，后来为了工作搬到了城市。,raised,4.0,ai_generated_from_sources,ev_raise_1,public_domain,pending,F,Past passive (was raised). Target span: raised. Collocation: be raised in a place. Common in Speaking Part 2 background introductions.
pe_raise_2,raise,raise_v_1,It takes a lot of effort to raise children in a big city.,在大城市里抚养孩子需要付出很多努力。,raise,4.0,ai_generated_from_sources,ev_raise_1,public_domain,pending,F,Infinitive construction: it takes effort to raise. Cross-topic reuse of city (support word). Teaches active verb form.
pe_influence_1,influence,influence_n_1,Parents have the greatest influence on a child's values and behavior.,父母对孩子的价值观和行为影响最大。,influence,4.0,ai_generated_from_sources,ev_influence_1,public_domain,pending,F,Collocation: have an influence on. Cross-topic reuse of value (pf_017) and behavior (pf_019). Common IELTS essay sentence.
pe_influence_2,influence,influence_n_1,The culture you grow up in has a strong influence on the way you see the world.,你所成长的文化对你如何看待世界有着深远的影响。,influence,4.0,ai_generated_from_sources,ev_influence_1,public_domain,pending,F,Collocation: strong influence on. Cross-topic reuse of culture (pf_016). Relative clause structure typical of B1+ writing.
pe_community_1,community,community_n_1,The local community organized activities to help elderly residents feel less isolated.,当地社区组织了活动，以帮助年迈的居民减少孤独感。,community,4.0,ai_generated_from_sources,ev_community_1,public_domain,pending,F,Cross-topic reuse of elderly (pf_009). Collocation: local community / sense of community. Describes community-support function.
pe_community_2,community,community_n_1,Children who grow up in a close community often develop strong social skills.,在紧密社区中成长的孩子往往能培养出较强的社交能力。,community,4.0,ai_generated_from_sources,ev_community_1,public_domain,pending,F,Collocation: close community. Cross-topic reuse of children (support word) and social (support word). Relative clause structure.
pe_individual_1,individual,individual_n_1,Every individual has the right to make their own choices in life.,每个人都有权在生活中做出自己的选择。,individual,4.0,ai_generated_from_sources,ev_individual_1,public_domain,pending,F,Noun use of individual. Collocation: every individual / each individual. Note: their used as gender-neutral singular pronoun (modern American English standard).
pe_individual_2,individual,individual_n_1,Some cultures place more value on the group than on the individual.,一些文化更看重群体而非个人。,individual,4.0,ai_generated_from_sources,ev_individual_1,public_domain,pending,F,Group vs individual contrast. Cross-topic reuse of culture (pf_016) and value (pf_017). Classic IELTS Task 2 argument structure.
pe_culture_1,culture,culture_n_1,Learning about another culture helps people develop respect and understanding.,了解另一种文化有助于人们培养尊重和理解。,culture,4.0,ai_generated_from_sources,ev_culture_1,public_domain,pending,F,Gerund subject. Collocation: learn about a culture / cultural understanding. Positive framing appropriate for IELTS context.
pe_culture_2,culture,culture_n_1,Family values differ greatly from one culture to another.,家庭价值观因文化不同而存在很大差异。,culture,4.0,ai_generated_from_sources,ev_culture_1,public_domain,pending,F,Collocation: from one culture to another. Cross-topic reuse of value (pf_017) and family (pf_001). Common comparative structure in Task 2 essays.
pe_value_1,value,value_n_1,Respect for older people is a core value in many Asian families.,尊重老年人是许多亚洲家庭的核心价值观。,value,4.0,ai_generated_from_sources,ev_value_1,public_domain,pending,T,Contains regional reference (Asian families). Review to ensure neutral framing. Collocation: core value / shared value. Cross-topic reuse of elderly/older people (pf_009).
pe_value_2,value,value_n_1,Children often adopt the values of their parents without realizing it.,孩子们往往在不知不觉中接受父母的价值观。,values,4.0,ai_generated_from_sources,ev_value_1,public_domain,pending,F,Plural values (target span). Collocation: adopt values / shared values. Cross-topic reuse of parent (pf_002). Natural and neutral example.
pe_attitude_1,attitude,attitude_n_1,A positive attitude toward studying helps children succeed at school.,积极的学习态度有助于孩子在学校取得成功。,attitude,4.0,ai_generated_from_sources,ev_attitude_1,public_domain,pending,F,Collocation: positive attitude toward. Note: toward (American) not towards (British). Cross-topic reuse with education.
pe_attitude_2,attitude,attitude_n_1,Her attitude toward family responsibilities changed after she became a parent herself.,成为父母之后，她对家庭责任的态度发生了变化。,attitude,4.0,ai_generated_from_sources,ev_attitude_1,public_domain,pending,F,Collocation: attitude toward something / change your attitude. Cross-topic reuse of responsibility (pf_008) and parent (pf_002).
pe_behavior_1,behavior,behavior_n_1,Children often copy the behavior of the adults around them.,孩子们往往会模仿身边成年人的行为。,behavior,4.0,ai_generated_from_sources,ev_behavior_1,public_domain,pending,F,American spelling: behavior. Collocation: copy behavior / model behavior. Concrete and relatable. Cross-topic reuse of children (support word).
pe_behavior_2,behavior,behavior_n_1,Good behavior at home often leads to good behavior at school.,在家里的良好行为通常也会带来在学校的良好表现。,behavior,4.0,ai_generated_from_sources,ev_behavior_1,public_domain,pending,F,Repetition of behavior emphasizes the cross-context transfer idea. Collocation: good/bad behavior. Simple and clear sentence structure.
pe_conflict_1,conflict,conflict_n_1,Family conflict can have a negative effect on children's mental health.,家庭冲突会对孩子的心理健康产生负面影响。,conflict,4.0,ai_generated_from_sources,ev_conflict_1,public_domain,pending,F,Collocation: family conflict / resolve a conflict. Cross-topic reuse of children (support word). Common IELTS Task 2 argument.
pe_conflict_2,conflict,conflict_n_1,Learning to resolve conflict peacefully is an important life skill.,学会和平解决冲突是一项重要的人生技能。,conflict,4.0,ai_generated_from_sources,ev_conflict_1,public_domain,pending,F,Collocation: resolve a conflict. Gerund subject. Positive framing appropriate for IELTS. Cross-topic with society and psychology.
